name,slug,summary,evidence,stakeholders,use_cases,high_risk_scenarios,provider_risk_points,buying_committee
Financial services,financial-services,"AI systems impacting lending, risk scoring, and access to essential services.",credit model validation reports|fairness audits across cohorts|customer decision logs,Risk|Compliance|Product,Credit scoring & access to services|Employment & workers management,credit eligibility decisions|fraud automation systems|workforce scoring models,incomplete technical documentation|weak model change approvals|insufficient robustness testing,Compliance|Legal|Risk|Product
Healthcare,healthcare,"Clinical and operational AI systems that influence care pathways.",clinical validation reports|incident response records|data provenance documentation,Clinical Ops|Compliance|IT,Critical infrastructure|Education & vocational training,clinical decision support systems|patient triage automation|care prioritization scoring,incomplete technical documentation|weak clinical validation controls|insufficient post-market monitoring,Compliance|Legal|Clinical Ops|IT
HR & staffing,hr-staffing,"Hiring, performance, and workforce management systems.",bias monitoring dashboards|human oversight logs|candidate impact assessments,People Ops|Legal|Compliance,Employment & workers management,candidate ranking automation|workforce performance scoring|termination risk workflows,incomplete technical documentation|weak bias mitigation controls|insufficient oversight logging,Compliance|Legal|People Ops|IT
Education,education,"Admissions, placement, and assessment systems influencing student outcomes.",student outcome validation studies|appeals and override logs|documentation of training datasets,Academic Affairs|Legal|IT,Education & vocational training,admissions decision automation|placement scoring models|student assessment AI,incomplete technical documentation|weak data governance controls|insufficient monitoring workflows,Compliance|Legal|Academic Affairs|IT
Public sector,public-sector,"Citizen-facing systems used for eligibility, services, and enforcement.",transparency notices|audit trails for decisions|risk impact assessments,Policy|Legal|Operations,"Justice & democratic processes|Migration and border control",benefit eligibility automation|service access scoring|enforcement prioritization systems,incomplete technical documentation|weak public accountability controls|insufficient incident reporting,Compliance|Legal|Policy|Operations
Insurance,insurance,"Risk pricing, claims triage, and fraud detection platforms.",claims decision logs|model robustness testing|data governance policies,Claims|Risk|Compliance,Credit scoring & access to services,claims triage automation|fraud risk scoring|policy eligibility models,incomplete technical documentation|weak change management controls|insufficient robustness testing,Compliance|Legal|Risk|Claims
Utilities & energy,utilities-energy,"AI systems monitoring critical infrastructure and safety.",safety case documentation|resilience testing logs|incident response playbooks,Operations|Safety|Security,Critical infrastructure,grid stability analytics|infrastructure fault prediction|safety risk automation,incomplete technical documentation|weak resilience testing controls|insufficient incident governance,Compliance|Legal|Safety|Operations
Transportation & logistics,transport-logistics,"Routing, safety, and operational optimization systems.",operational monitoring dashboards|system performance reports|incident management logs,Operations|Safety|Compliance,Critical infrastructure,route risk optimization|fleet safety scoring|operational dispatch automation,incomplete technical documentation|weak change control governance|insufficient monitoring validation,Compliance|Legal|Operations|Safety
Retail & ecommerce,retail-ecommerce,"AI used for eligibility, access, and workforce management.",decision explainability artifacts|model monitoring dashboards|data quality documentation,Operations|Legal|Risk,Employment & workers management|Credit scoring & access to services,credit access automation|fraud filtering pipelines|workforce performance scoring,incomplete technical documentation|weak transparency controls|insufficient data governance,Compliance|Legal|Operations|Product
Telecom & media,telecom-media,"AI for access decisions, service eligibility, and infrastructure monitoring.",service eligibility audits|security monitoring reports|data lineage documentation,Security|Compliance|Product,Critical infrastructure|Credit scoring & access to services,service eligibility scoring|network resilience automation|subscriber risk models,incomplete technical documentation|weak security assurance controls|insufficient post-market monitoring,Compliance|Legal|Security|Product
